layer,cosine_raw_space,abs_cosine_raw_space
0,0.04903951287269592,0.04903951287269592
1,0.023986412212252617,0.023986412212252617
2,0.049410220235586166,0.049410220235586166
3,0.026408089324831963,0.026408089324831963
4,0.08602001518011093,0.08602001518011093
5,0.08512980490922928,0.08512980490922928
6,0.09430725127458572,0.09430725127458572
7,0.06655880063772202,0.06655880063772202
8,0.07313121855258942,0.07313121855258942
9,0.03320032358169556,0.03320032358169556
10,0.04912389814853668,0.04912389814853668
11,0.09399896115064621,0.09399896115064621
12,0.11192045360803604,0.11192045360803604
13,0.0672549158334732,0.0672549158334732
14,0.07054281234741211,0.07054281234741211
15,0.10519811511039734,0.10519811511039734
16,0.11627363413572311,0.11627363413572311
17,0.12983642518520355,0.12983642518520355
18,0.11533577740192413,0.11533577740192413
19,0.07653091102838516,0.07653091102838516
20,0.09184058010578156,0.09184058010578156
21,0.07492461055517197,0.07492461055517197
22,0.05675622448325157,0.05675622448325157
23,0.06735595315694809,0.06735595315694809
24,0.07657486200332642,0.07657486200332642
25,0.08525458723306656,0.08525458723306656
26,0.06554149836301804,0.06554149836301804
27,0.09836988151073456,0.09836988151073456
